canonical_name,risk_level,sub_weight,source,health_concern,products_containing,top_primary_categories
triethanolamine,Medium,2.0,Cosing EU; IARC,pH adjuster; restricted ≤2.5% due to risk of forming cancer-causing nitrosamines,167,Skincare (62); Makeup (49); Hair (16)
citrus limon (lemon) fruit extract,Medium,2.0,Cosing EU,Lemon extract; contains furocoumarins; allowed only at natural levels; may cause skin burns with sun exposure,164,Skincare (95); Hair (31); Bath & Body (15)
methylparaben,Medium,2.0,EU Annex V; SCCS,"Preservative;
permitted with concentration limits; SCCS
reviewed endocrine-related concerns",149,Skincare (59); Makeup (49); Hair (22)
amyl cinnamal,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions,135,Fragrance (69); Hair (39); Skincare (10)
benzophenone-4,Medium,2.0,EU Annex VI; SCCS,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern,123,Hair (84); Skincare (23); Bath & Body (11)
retinyl palmitate,Medium,2.0,Cosing EU,Restricted to 0.05 % RE body lotion / 0.3 % other,123,Skincare (43); Makeup (42); Hair (18)
citrus limon (lemon) peel oil,Medium,2.0,Cosing EU,Lemon peel essential oil; may cause skin burns with sun exposure,114,Skincare (73); Hair (12); Bath & Body (11)
menthol,Medium,2.0,EU Annex III,Cooling agents; may sensitize/ irritate sensitive skin or eyes,102,Hair (37); Skincare (34); Makeup (12)
pelargonium graveolens flower oil,Medium,2.0,Cosing EU,Geranium essential oil; fragrance allergens; may cause skin reactions,102,Skincare (65); Hair (15); Bath & Body (9)
retinol,Medium,2.0,Cosing EU; SCCS,Vitamin A; SCCS permitted with concentration limits; pregnancy precaution,100,Skincare (93); Mini Size (4); Makeup (2)
propylparaben,Medium,2.0,Cosing EU,"Potential endocrine disruptor,may interfere with hormone balance",90,Makeup (48); Skincare (27); Mini Size (7)
phenoxyethanol,Low-Medium,1.5,EU Annex V / SCCS,"Preservative;
permitted with concentration limits; mild irritation/sensitization",3327,Skincare (1246); Makeup (905); Hair (788)
linalool,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions,2551,Fragrance (974); Hair (666); Skincare (536)
limonene,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions,2518,Fragrance (928); Hair (640); Skincare (558)
citronellol,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions,1615,Fragrance (822); Hair (292); Skincare (291)
alcohol denat,Low-Medium,1.5,Cosing EU,Drying with prolonged use,1209,Fragrance (695); Skincare (202); Hair (159)
benzyl benzoate,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions,874,Fragrance (531); Hair (116); Skincare (96)
hexyl cinnamal,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions,861,Hair (330); Fragrance (327); Skincare (87)
alcohol,Low-Medium,1.5,Cosing EU,Ethanol solvent; barrier-disruption potential,860,Fragrance (364); Skincare (230); Makeup (136)
alpha-isomethyl ionone,Low-Medium,1.5,Cosing EU,Recognized fragrance allergen; may cause skin reactions,765,Fragrance (474); Hair (146); Skincare (57)
propylene glycol,Low-Medium,1.5,Cosing EU,Solvent / humectant; may cause minor irritation,753,Hair (344); Skincare (225); Makeup (123)
ci 42090 (blue 1),Low-Medium,1.5,EU Annex IV; EU Annex III,Approved colorant; concentration restricted ,649,Makeup (432); Fragrance (106); Skincare (82)
butyl methoxydibenzoylmethane,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits,641,Fragrance (515); Hair (59); Skincare (43)
chlorphenesin,Low-Medium,1.5,EU Annex V,Preservative; permitted with concentration on limits,637,Skincare (268); Hair (184); Makeup (102)
lactic acid,Low-Medium,1.5,Cosing EU,Exfoliant and moisturizer; may irritate skin,509,Skincare (301); Hair (121); Makeup (41)
cyclopentasiloxane,Low-Medium,1.5,Cosing EU,Volatile silicone; safe at cosmetic levels,442,Makeup (200); Skincare (110); Hair (86)
ethylhexyl salicylate,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits,441,Fragrance (354); Hair (53); Skincare (10)
isopropyl alcohol,Low-Medium,1.5,Cosing EU,Solvent; may cause mild skin drying and irritation,334,Hair (272); Makeup (27); Skincare (16)
ci 60730 (ext violet 2),Low-Medium,1.5,EU Annex IV,Synthetic colorant; restricted from lips and eye area,327,Fragrance (261); Hair (34); Skincare (19)
glycolic acid,Low-Medium,1.5,Cosing EU,Chemical peels and anti-aging skin products; can irritate skin,253,Skincare (183); Hair (34); Bath & Body (18)
ci 17200 (red 33),Low-Medium,1.5,EU Annex IV,Approved colorant; concentration restricted ,252,Fragrance (115); Makeup (64); Skincare (40)
potassium hydroxide,Low-Medium,1.5,Cosing EU,pH adjuster; restricted due to strong alkalinity; concentration limits apply,233,Skincare (150); Hair (41); Makeup (19)
ci 45410 (red 28),Low-Medium,1.5,EU Annex IV,Approved colorant; concentration restricted ,226,Makeup (270); Skincare (9); Mini Size (8)
sodium metabisulfite,Low-Medium,1.5,Cosing EU,Antioxidant preservative; may cause reactions in sulfite-sensitive individuals,200,Skincare (127); Hair (41); Makeup (18)
phenethyl alcohol,Low-Medium,1.5,Cosing EU,Recognized fragrance allergen; may cause skin reactions,170,Skincare (92); Makeup (32); Hair (23)
lavandula angustifolia (lavender) oil,Low-Medium,1.5,Cosing EU,Lavender oil; contains linalool which may cause skin allergy,152,Skincare (101); Makeup (17); Bath & Body (14)
citrus aurantium dulcis (orange) peel oil,Low-Medium,1.5,Cosing EU,Citrus oil; may cause skin sensitivity to sunlight; contains limonene,125,Skincare (66); Hair (28); Bath & Body (13)
mentha piperita (peppermint) oil,Low-Medium,1.5,Cosing EU,Peppermint oil; menthol can sensitize / irritate skin,122,Hair (52); Skincare (41); Makeup (14)
benzyl cinnamate,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions,115,Fragrance (91); Hair (16); Mini Size (3)
sorbitan sesquioleate,Low-Medium,1.5,Cosing EU,Emulsifier; documented potential for contact allergy,113,Makeup (77); Skincare (19); Mini Size (15)
sodium c14-16 olefin sulfonate,Low-Medium,1.5,"Cosing EU, CIR",Anionic surfactant; potential mild irritant at higher concentrations,110,Hair (65); Skincare (26); Bath & Body (12)
sodium laureth sulfate,Low-Medium,1.5,Cosing EU,"Mild anionic surfactant; potential 1,4-dioxane manufacturing impurity",106,Hair (48); Skincare (21); Bath & Body (15)
citrus aurantium bergamia (bergamot) fruit oil,Low-Medium,1.5,Cosing EU,Bergamot oil; potentially phototoxic (bergapten); may cause skin sensitization,105,Skincare (68); Hair (13); Bath & Body (8)
cyclohexasiloxane,Low-Medium,1.5,Cosing EU,Volatile silicone (D5); EU environmental review for PBT properties; safe for topical use,103,Makeup (44); Skincare (41); Hair (13)
vanillin,Low-Medium,1.5,Cosing EU,Recognized fragrance allergen; may cause skin reactions,71,Makeup (33); Skincare (18); Fragrance (13)
ptfe,Low-Medium,1.5,EU Reach 2023/2055,Microplastic polymer (Teflon); targeted for phase-outs in the EU,52,Makeup (48); Mini Size (2); Men (2)
water,Low,1.0,Cosing EU,Universal solvent; safe,5559,Skincare (2167); Hair (1216); Fragrance (1047)
glycerin,Low,1.0,Cosing EU,Solvent; skin conditioning; moisturizer; safe,3766,Skincare (1788); Hair (905); Makeup (644)
tocopherol,Low,1.0,Cosing EU,Vitamin E antioxidant; safe,2549,Skincare (1009); Makeup (748); Hair (446)
citric acid,Low,1.0,Cosing EU,pH adjuster; safe,2221,Skincare (956); Hair (723); Makeup (271)
butylene glycol,Low,1.0,Cosing EU,Humectant / solvent; safe at cosmetic concentration,2146,Skincare (1080); Makeup (516); Hair (384)
caprylyl glycol,Low,1.0,Cosing EU,Humectant /preservative booster; safe,2122,Skincare (798); Makeup (741); Hair (369)
dimethicone,Low,1.0,Cosing EU,Skin-protectant silicone; non-irritating,2064,Makeup (1756); Skincare (1036); Hair (373)
ethylhexylglycerin,Low,1.0,Cosing EU,Skin conditioning; low irritation,1925,Skincare (836); Makeup (483); Hair (414)
titanium dioxide (ci 77891),Low,1.0,EU Annex IV; EU Annex VI,UV filter and colorant; safe,1876,Makeup (1391); Skincare (343); Mini Size (89)
potassium sorbate,Low,1.0,EU Annex V,Preservative; safe at cosmetic levels,1730,Skincare (682); Hair (553); Makeup (346)
sodium hyaluronate,Low,1.0,Cosing EU,Humectant; safe,1693,Skincare (1290); Makeup (436); Hair (165)
silica,Low,1.0,Cosing EU,Absorbent / anti caking; safe topically,1678,Makeup (1199); Skincare (425); Mini Size (96)
sodium benzoate,Low,1.0,EU Annex V,Preservative; safe at cosmetic levels,1613,Skincare (701); Hair (570); Makeup (198)
iron oxides (ci 77491),Low,1.0,EU Annex IV,Approved colorant; safe,1553,Makeup (1368); Skincare (160); Mini Size (85)
caprylic/capric triglyceride,Low,1.0,Cosing EU,Coconut-derived moisturizer; safe,1552,Skincare (709); Makeup (499); Hair (144)
disodium edta,Low,1.0,Cosing EU,Chelating agent; safe at cosmetic levels,1545,Skincare (784); Hair (385); Makeup (287)
propanediol,Low,1.0,Cosing EU,Humectant/solvent; well tolerated,1519,Skincare (866); Hair (286); Makeup (261)
tocopheryl acetate,Low,1.0,Cosing EU,Vitamin E ester antioxidant; safe,1486,Skincare (605); Makeup (556); Hair (177)
iron oxides (ci 77499),Low,1.0,EU Annex IV,Approved colorant; safe,1391,Makeup (1283); Mini Size (89); Skincare (48)
mica (ci 77019),Low,1.0,EU Annex IV,Approved colorant; safe,1342,Makeup (1006); Skincare (217); Mini Size (68)
iron oxides (ci 77492),Low,1.0,EU Annex IV,Approved colorant; safe,1330,Makeup (1206); Skincare (94); Mini Size (73)
xanthan gum,Low,1.0,Cosing EU,Hydration and conditioning; safe,1265,Skincare (832); Makeup (186); Hair (97)
sodium hydroxide,Low,1.0,Cosing EU,pH adjuster; safe,1248,Skincare (688); Hair (293); Makeup (118)
helianthus annuus seed oil,Low,1.0,Cosing EU,Sunflower oil moisturizer; safe,1197,Skincare (567); Hair (373); Makeup (221)
cetearyl alcohol,Low,1.0,Cosing EU,Fatty alcohol emulsifier; safe,1103,Hair (466); Skincare (442); Bath & Body (112)
panthenol,Low,1.0,Cosing EU,Pro-Vvitamin B5 humectant; safe,1064,Hair (465); Skincare (339); Makeup (160)
ci 19140 (yellow 5),Low,1.0,EU Annex IV,Approved colorant; safe,1000,Makeup (579); Fragrance (238); Skincare (122)
jojoba oil,Low,1.0,Cosing EU,Liquid wax ester emollient; safe,946,Skincare (382); Makeup (256); Hair (224)
pentylene glycol,Low,1.0,Cosing EU,Humectant/solvent; low irritation,940,Skincare (515); Makeup (216); Hair (140)
squalane,Low,1.0,Cosing EU,Saturated emollient; safe,931,Skincare (538); Makeup (208); Hair (85)
shea butter,Low,1.0,Cosing EU,Plant butter emollient; safe,912,Skincare (376); Hair (242); Makeup (195)
aloe barbadensis,Low,1.0,Cosing EU,Plant extract soothing; safe,904,Skincare (441); Hair (236); Makeup (93)
ascorbic acid,Low,1.0,Cosing EU,Vitamin C antioxidant; safe,898,Skincare (586); Makeup (255); Hair (107)
glyceryl stearate,Low,1.0,Cosing EU,Emulsifier; safe,832,Skincare (440); Makeup (154); Hair (114)
sodium chloride,Low,1.0,Cosing EU,Salt; safe,832,Skincare (303); Hair (245); Makeup (178)
2-hexanediol,Low,1.0,Cosing EU,Solvent/preservative-booster; safe at cosmetic levels,809,Skincare (477); Makeup (258); Mini Size (28)
carbomer,Low,1.0,Cosing EU,Polyacrylic acid thickener; safe,714,Skincare (486); Hair (89); Makeup (69)
cetyl alcohol,Low,1.0,Cosing EU,Fatty alcohol emollient; safe,684,Skincare (281); Hair (238); Makeup (67)
pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate,Low,1.0,Cosing EU,Antioxidant; safe,679,Makeup (381); Skincare (98); Hair (91)
tin oxide (ci 77861),Low,1.0,EU Annex IV,Approved colorant; safe,668,Makeup (492); Skincare (99); Mini Size (40)
stearic acid,Low,1.0,Cosing EU,Fatty acid emulsifier; safe,629,Skincare (254); Makeup (235); Hair (44)
synthetic fluorphlogopite,Low,1.0,Cosing EU,Skin tone enhancer; safe,628,Makeup (503); Skincare (68); Mini Size (35)
camellia sinensis leaf extract,Low,1.0,Cosing EU,Green tea polyphenol antioxidant; safe,622,Skincare (372); Hair (107); Makeup (87)
lecithin,Low,1.0,Cosing EU,Phospholipid emulsifier; safe,589,Skincare (350); Makeup (167); Hair (25)
cocos nucifera oil,Low,1.0,Cosing EU,Coconut oil moisturizer; safe,576,Hair (258); Skincare (131); Makeup (89)
sodium citrate,Low,1.0,Cosing EU,pH buffer; safe,573,Skincare (360); Makeup (99); Hair (62)
isododecane,Low,1.0,Cosing EU,Volatile hydrocarbon solvent; safe,545,Makeup (327); Skincare (97); Hair (79)
hexylene glycol,Low,1.0,Cosing EU,Solvent / humectant; safe,531,Skincare (209); Makeup (186); Hair (82)
polysorbate 20,Low,1.0,Cosing EU,Non-ionic emulsifier; safe,526,Skincare (309); Hair (112); Makeup (73)
niacinamide,Low,1.0,Cosing EU,Vitamin B3; well tolerated,505,Skincare (342); Makeup (70); Hair (51)
rosmarinus officinalis extract,Low,1.0,Cosing EU,Rosemary antioxidant extract; safe,497,Skincare (206); Hair (176); Makeup (50)
polyethylene,Low,1.0,Cosing EU,Synthetic polymer; safe,464,Makeup (390); Skincare (48); Mini Size (17)
octyldodecanol,Low,1.0,Cosing EU,Fatty alcohol emollient; safe,460,Makeup (328); Skincare (87); Hair (18)
disteardimonium hectorite,Low,1.0,Cosing EU,Rheology modifier; safe,455,Makeup (354); Skincare (63); Mini Size (19)
caffeine,Low,1.0,Cosing EU,Antioxidant; safe,454,Skincare (280); Makeup (67); Hair (48)
ci 15850 (red 7),Low,1.0,EU Annex IV,Approved colorant; safe,442,Makeup (652); Mini Size (25); Skincare (22)
hydroxyethylcellulose,Low,1.0,Cosing EU,Plant-based thickener; controls product texture; safe,440,Hair (148); Skincare (133); Makeup (120)
maltodextrin,Low,1.0,Cosing EU,Starch-based binder; helps hold product together; safe,437,Skincare (260); Makeup (70); Hair (69)
talc,Low,1.0,Cosing EU,Moisture absorption; texture enhancement; safe,416,Makeup (356); Mini Size (32); Skincare (22)
sodium pca,Low,1.0,Cosing EU,Natural skin moisturizing factor; safe,414,Skincare (229); Hair (110); Makeup (30)
polysorbate 60,Low,1.0,Cosing EU,Blends oil and water in formulas; safe,409,Skincare (198); Hair (83); Makeup (80)
ethylhexyl palmitate,Low,1.0,Cosing EU,Emollient ester; safe,398,Makeup (252); Skincare (96); Mini Size (18)
acrylates/c10-30 alkyl acrylate crosspolymer,Low,1.0,Cosing EU,Thickener; controls product texture; safe,392,Skincare (284); Hair (40); Makeup (28)
triethoxycaprylylsilane,Low,1.0,Cosing EU,Pigment surface coating; safe,390,Makeup (299); Skincare (53); Mini Size (27)
dipropylene glycol,Low,1.0,Cosing EU,Moisturizer/solvent; safe,389,Skincare (157); Makeup (79); Hair (66)
sorbitan isostearate,Low,1.0,Cosing EU,Blends oil and water in formulas; safe,389,Skincare (188); Makeup (152); Bath & Body (29)
hydrogenated polyisobutene,Low,1.0,Cosing EU,Synthetic emollient; safe,386,Makeup (261); Skincare (89); Bath & Body (15)
hydroxyacetophenone,Low,1.0,Cosing EU,Antioxidant and preservative booster; safe,380,Skincare (194); Hair (73); Makeup (69)
ultramarines (ci 77007),Low,1.0,EU Annex IV,Approved colorant; safe,380,Makeup (333); Mini Size (37); Skincare (8)
sodium dehydroacetate,Low,1.0,EU Annex V,Preservative; safe at cosmetic levels,377,Makeup (270); Skincare (47); Mini Size (34)
leuconostoc/radish root ferment filtrate,Low,1.0,Cosing EU,Natural preservative from radish fermentation; safe,372,Skincare (228); Hair (83); Makeup (35)
sodium phytate,Low,1.0,Cosing EU,Preservative booster (binds metals); safe,357,Skincare (239); Hair (47); Bath & Body (38)
persea gratissima oil,Low,1.0,Cosing EU,Avocado oil moisturizer; safe,356,Hair (121); Skincare (112); Makeup (83)
trimethylsiloxysilicate,Low,1.0,Cosing EU,Silicone resin; helps product stay on skin; safe,354,Makeup (312); Skincare (24); Mini Size (17)
polybutene,Low,1.0,Cosing EU,Thickener; controls product consistency; safe,352,Makeup (300); Skincare (29); Mini Size (20)
glyceryl caprylate,Low,1.0,Cosing EU,Moisturizer and preservative booster; safe,351,Skincare (184); Makeup (103); Hair (30)
propylene carbonate,Low,1.0,Cosing EU,Solvent; helps dissolve other ingredients; safe,346,Makeup (276); Skincare (48); Mini Size (15)
diisostearyl malate,Low,1.0,Cosing EU,Emollient; texture enhancer; safe,342,Makeup (254); Skincare (54); Hair (15)
benzoic acid,Low,1.0,EU Annex V,Preservative; safe at cosmetic levels,339,Hair (120); Skincare (110); Makeup (54)
ci 14700 (red 4),Low,1.0,EU Annex IV,Approved colorant; safe,336,Fragrance (220); Skincare (67); Hair (22)
argania spinosa kernel oil,Low,1.0,Cosing EU,Argan oil moisturizer; safe,333,Hair (187); Skincare (55); Makeup (38)
arginine,Low,1.0,Cosing EU,Naturally occurring amino acid; safe,324,Skincare (154); Hair (122); Makeup (29)
trehalose,Low,1.0,Cosing EU,Natural sugar moisturizer; safe,324,Skincare (216); Makeup (44); Hair (44)
phenyl trimethicone,Low,1.0,Cosing EU,Silicone; gives shine and smooth feel; safe,322,Makeup (175); Hair (61); Skincare (54)
bismuth oxychloride (ci 77163),Low,1.0,EU Annex IV,Approved colorant; safe,320,Makeup (279); Mini Size (26); Skincare (12)
peg-40 hydrogenated castor oil,Low,1.0,Cosing EU,Helps dissolve oils in water-based formulas; safe,319,Hair (136); Skincare (95); Makeup (46)
kaolin,Low,1.0,Cosing EU,Clay absorbent; safe,313,Makeup (176); Skincare (104); Mini Size (16)
palmitic acid,Low,1.0,Cosing EU,Natural fatty acid; safe,313,Skincare (141); Makeup (117); Mini Size (21)
allantoin,Low,1.0,Cosing EU,Soothes and calms skin; safe,311,Skincare (223); Bath & Body (34); Makeup (23)
polymethylsilsesquioxane,Low,1.0,Cosing EU,Silicone powder; gives smooth finish; safe,309,Makeup (181); Skincare (105); Mini Size (14)
acrylates copolymer,Low,1.0,Cosing EU,Film-former; keeps product on skin/hair; safe,308,Makeup (128); Hair (94); Skincare (53)
peg-100 stearate,Low,1.0,Cosing EU,Blends oil and water in formulas; safe,304,Skincare (212); Hair (38); Bath & Body (20)
betaine,Low,1.0,Cosing EU,Natural moisturizer from sugar beet; safe,300,Skincare (230); Hair (32); Makeup (21)
aluminum hydroxide,Low,1.0,Cosing EU,Pigment base material; safe,297,Makeup (242); Skincare (36); Mini Size (16)
zinc stearate,Low,1.0,"Cosing EU, FDA",Anti-caking; safe,297,Makeup (276); Mini Size (14); Skincare (6)
carmine (ci 75470),Low,1.0,EU Annex IV,Approved colorant; safe,296,Makeup (260); Mini Size (25); Skincare (12)
coco-caprylate/caprate,Low,1.0,Cosing EU,Lightweight coconut-derived moisturizer; safe,295,Skincare (182); Makeup (52); Hair (36)
sorbic acid,Low,1.0,EU Annex V,Preservative; safe at cosmetic levels,294,Hair (102); Skincare (79); Makeup (73)
synthetic wax,Low,1.0,Cosing EU,Man-made wax; texture agent; safe,294,Makeup (252); Skincare (22); Mini Size (13)
manganese violet (ci 77742),Low,1.0,EU Annex IV,Approved colorant; safe,293,Makeup (269); Mini Size (21); Skincare (2)
trisodium ethylenediamine disuccinate,Low,1.0,Cosing EU,Preservative booster (binds metals); safe,293,Skincare (154); Hair (78); Makeup (32)
hydrogenated lecithin,Low,1.0,Cosing EU,Natural lipid; helps product absorb into skin; safe,285,Skincare (185); Makeup (73); Mini Size (7)
hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer,Low,1.0,Cosing EU,Thickener; controls product texture; safe,283,Skincare (191); Bath & Body (38); Makeup (36)
ci 15985 (yellow 6),Low,1.0,EU Annex IV,Approved colorant; safe,280,Makeup (169); Fragrance (50); Skincare (47)
ricinus communis (castor) seed oil,Low,1.0,Cosing EU,Castor oil emollient; safe,272,Makeup (142); Hair (58); Skincare (55)
dimethiconol,Low,1.0,Cosing EU,Silicone conditioner; safe,269,Hair (123); Makeup (65); Skincare (63)
stearyl alcohol,Low,1.0,Cosing EU,Natural fatty alcohol; moisturizer; safe,268,Skincare (129); Hair (93); Bath & Body (29)
nylon-12,Low,1.0,Cosing EU,Synthetic powder; safe,265,Makeup (212); Skincare (28); Mini Size (18)
bis-diglyceryl polyacyladipate-2,Low,1.0,Cosing EU,Moisturizer; safe,262,Makeup (192); Skincare (46); Mini Size (15)
isohexadecane,Low,1.0,Cosing EU,Lightweight synthetic moisturizer; safe,262,Skincare (133); Makeup (79); Hair (28)
guar hydroxypropyltrimonium chloride,Low,1.0,Cosing EU,Natural hair conditioner from guar bean; safe,257,Hair (243); Mini Size (6); Bath & Body (4)
alumina,Low,1.0,Cosing EU,Lightweight coconut-derived moisturizer; safe,255,Makeup (203); Skincare (34); Mini Size (11)
calcium sodium borosilicate,Low,1.0,Cosing EU,Sparkle/glitter effect pigment; safe,253,Makeup (224); Mini Size (12); Bath & Body (6)
behenyl alcohol,Low,1.0,Cosing EU,Natural fatty alcohol; moisturizer; safe,251,Skincare (187); Hair (23); Makeup (16)
decyl glucoside,Low,1.0,Cosing EU,Gentle sugar-based cleanser; safe,251,Skincare (120); Hair (98); Bath & Body (15)
c12-15 alkyl benzoate,Low,1.0,Cosing EU,Lightweight moisturizer; safe,247,Skincare (116); Makeup (67); Hair (33)
lauroyl lysine,Low,1.0,Cosing EU,Amino-acid lipid; safe,247,Makeup (192); Skincare (40); Mini Size (14)
dehydroacetic acid,Low,1.0,EU Annex V,Preservative; safe at cosmetic levels,246,Skincare (88); Makeup (68); Hair (66)
gluconolactone,Low,1.0,Cosing EU,Gentle exfoliant (PHA); less irritating than AHAs; safe,244,Skincare (124); Hair (90); Makeup (12)
isononyl isononanoate,Low,1.0,Cosing EU,Lightweight moisturizer; safe,244,Makeup (136); Skincare (91); Mini Size (7)
bisabolol,Low,1.0,Cosing EU,Chamomile-derived; soothes skin; safe,243,Skincare (169); Bath & Body (31); Makeup (19)
adenosine,Low,1.0,Cosing EU,Naturally occurring skin conditioner; safe,242,Skincare (217); Makeup (14); Mini Size (4)
ceramide np,Low,1.0,Cosing EU,Skin barrier lipid; repairs and strengthens skin; safe,238,Skincare (185); Bath & Body (18); Hair (17)
prunus amygdalus dulcis (sweet almond) oil,Low,1.0,Cosing EU,Sweet almond oil; safe,238,Hair (102); Skincare (54); Bath & Body (50)
sodium lactate,Low,1.0,Cosing EU,Natural skin moisturizing factor; safe,236,Skincare (131); Hair (63); Makeup (27)
octyldodecyl stearoyl stearate,Low,1.0,Cosing EU,Emollient ester; safe,235,Makeup (213); Skincare (11); Mini Size (10)
amodimethicone,Low,1.0,Cosing EU,Silicone hair conditioner; safe,234,Hair (211); Skincare (13); Makeup (5)
sorbitol,Low,1.0,Cosing EU,Sugar-based moisturizer; safe,232,Skincare (140); Makeup (40); Hair (30)
boron nitride,Low,1.0,Cosing EU,Optical-finish powder; safe,223,Makeup (172); Skincare (31); Mini Size (18)
polysilicone-11,Low,1.0,Cosing EU,Silicone elastomer; gives bouncy texture; safe,221,Skincare (123); Makeup (83); Mini Size (8)
chamomilla recutita (matricaria) flower extract,Low,1.0,Cosing EU,Chamomile extract; soothes skin; safe,220,Skincare (115); Hair (58); Makeup (27)
glycine soja (soybean) oil,Low,1.0,Cosing EU,Soybean oil moisturizer; safe,218,Skincare (74); Makeup (58); Hair (54)
calcium aluminum borosilicate,Low,1.0,Cosing EU,Sparkle/glitter effect pigment; safe,211,Makeup (189); Mini Size (15); Skincare (4)
sucrose,Low,1.0,Cosing EU,Sugar; moisturizer; safe,210,Skincare (149); Makeup (19); Bath & Body (17)
tetrahexyldecyl ascorbate,Low,1.0,Cosing EU,Stable vitamin C derivative; antioxidant; safe,206,Skincare (134); Makeup (51); Bath & Body (9)
polysorbate 80,Low,1.0,Cosing EU,Blends oil and water in formulas; safe,205,Skincare (113); Makeup (50); Hair (22)
biotin,Low,1.0,Cosing EU,Vitamin B7; supports hair and nail health; safe,204,Hair (131); Skincare (37); Makeup (28)
