product_id,raw_ingredient,canonical_name,risk_level,sub_weight,source,health_concern
P473662,coumarin,coumarin,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473662,eugenol,eugenol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473662,citral,citral,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473662,isoeugenol,isoeugenol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473662,geraniol,geraniol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473660,alcohol denat. (sd alcohol 39c),alcohol denat,Low-Medium,1.5,Cosing EU,Drying with prolonged use
P473660,parfum (fragrance),parfum (fragrance),Medium,2.0,Cosing EU,Undisclosed allergen mixture; declaration required
P473660,coumarin,coumarin,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473660,ethylhexyl methoxycinnamate,octinoxate,Medium,2.0,EU Annex VI; SCCS,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern
P473660,butyl methoxydibenzoylmethane,butyl methoxydibenzoylmethane,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473660,ethylhexyl salicylate,ethylhexyl salicylate,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473660,d-limonene,limonene,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473660,eugenol,eugenol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473660,linalool,linalool,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473660,citronellol,citronellol,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473660,geraniol,geraniol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473660,cinnamal,cinnamal,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473660,citral,citral,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473658,alcohol denat. (sd alcohol 39c),alcohol denat,Low-Medium,1.5,Cosing EU,Drying with prolonged use
P473658,parfum (fragrance),parfum (fragrance),Medium,2.0,Cosing EU,Undisclosed allergen mixture; declaration required
P473658,octoxynol-10,,Unclassified,,,
P473658,d-limonene,limonene,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473658,ethylhexyl methoxycinnamate,octinoxate,Medium,2.0,EU Annex VI; SCCS,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern
P473658,butyl methoxydibenzoylmethane,butyl methoxydibenzoylmethane,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473658,ethylhexyl salicylate,ethylhexyl salicylate,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473658,geraniol,geraniol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473658,linalool,linalool,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473658,coumarin,coumarin,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473658,farnesol,farnesol,Medium,2.0,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473658,eugenol,eugenol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473658,citral,citral,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473661,alcohol denat. (sd alcohol 39c),alcohol denat,Low-Medium,1.5,Cosing EU,Drying with prolonged use
P473661,parfum (fragrance),parfum (fragrance),Medium,2.0,Cosing EU,Undisclosed allergen mixture; declaration required
P473661,coumarin,coumarin,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473661,ethylhexyl methoxycinnamate,octinoxate,Medium,2.0,EU Annex VI; SCCS,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern
P473661,butyl methoxydibenzoylmethane,butyl methoxydibenzoylmethane,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473661,ethylhexyl salicylate,ethylhexyl salicylate,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473661,d-limonene,limonene,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473661,eugenol,eugenol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473661,linalool,linalool,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473661,citronellol,citronellol,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473661,geraniol,geraniol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473661,cinnamal,cinnamal,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473661,citral,citral,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473659,alcohol denat. (sd alcohol 39c),alcohol denat,Low-Medium,1.5,Cosing EU,Drying with prolonged use
P473659,parfum (fragrance),parfum (fragrance),Medium,2.0,Cosing EU,Undisclosed allergen mixture; declaration required
P473659,octoxynol-10,,Unclassified,,,
P473659,d-limonene,limonene,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473659,ethylhexyl methoxycinnamate,octinoxate,Medium,2.0,EU Annex VI; SCCS,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern
P473659,butyl methoxydibenzoylmethane,butyl methoxydibenzoylmethane,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473659,ethylhexyl salicylate,ethylhexyl salicylate,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473659,geraniol,geraniol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473659,linalool,linalool,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473659,coumarin,coumarin,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473659,farnesol,farnesol,Medium,2.0,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473659,eugenol,eugenol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473659,citral,citral,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473666,alcohol denat. (sd alcohol 39c),alcohol denat,Low-Medium,1.5,Cosing EU,Drying with prolonged use
P473666,parfum (fragrance),parfum (fragrance),Medium,2.0,Cosing EU,Undisclosed allergen mixture; declaration required
P473666,ethylhexyl methoxycinnamate,octinoxate,Medium,2.0,EU Annex VI; SCCS,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern
P473666,ethylhexyl salicylate,ethylhexyl salicylate,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473666,butyl methoxydibenzoylmethane,butyl methoxydibenzoylmethane,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473666,benzyl benzoate,benzyl benzoate,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473666,citral,citral,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473666,coumarin,coumarin,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473666,limonene,limonene,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473666,alpha-isomethyl ionone,alpha-isomethyl ionone,Low-Medium,1.5,Cosing EU,Recognized fragrance allergen; may cause skin reactions
P473666,linalool,linalool,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P472300,alcohol denat. (sd alcohol 39c),alcohol denat,Low-Medium,1.5,Cosing EU,Drying with prolonged use
P472300,parfum (fragrance),parfum (fragrance),Medium,2.0,Cosing EU,Undisclosed allergen mixture; declaration required
P472300,d-limonene,limonene,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P472300,linalool,linalool,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P472300,benzyl salicylate,benzyl salicylate,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P472300,ethylhexyl methoxycinnamate,octinoxate,Medium,2.0,EU Annex VI; SCCS,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern
P472300,butyl methoxydibenzoylmethane,butyl methoxydibenzoylmethane,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P472300,ethylhexyl salicylate,ethylhexyl salicylate,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P472300,benzl benzoate,,Unclassified,,,
P472300,citral,citral,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P472300,geraniol,geraniol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P472300,eugenol,eugenol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P472300,benzyl alcohol,benzyl alcohol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P472300,farnesol,farnesol,Medium,2.0,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P472300,citronellol,citronellol,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P472300,isoeugenol,isoeugenol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473667,alcohol denat. (sd alcohol 39c),alcohol denat,Low-Medium,1.5,Cosing EU,Drying with prolonged use
P473667,parfum (fragrance),parfum (fragrance),Medium,2.0,Cosing EU,Undisclosed allergen mixture; declaration required
P473667,ethylhexyl methoxycinnamate,octinoxate,Medium,2.0,EU Annex VI; SCCS,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern
P473667,ethylhexyl salicylate,ethylhexyl salicylate,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473667,butyl methoxydibenzoylmethane,butyl methoxydibenzoylmethane,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473667,benzyl benzoate,benzyl benzoate,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473667,citral,citral,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473667,coumarin,coumarin,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473667,limonene,limonene,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473667,alpha-isomethyl ionone,alpha-isomethyl ionone,Low-Medium,1.5,Cosing EU,Recognized fragrance allergen; may cause skin reactions
P473667,linalool,linalool,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473663,alcohol denat. (sd alcohol 39c),alcohol denat,Low-Medium,1.5,Cosing EU,Drying with prolonged use
P473663,parfum (fragrance),parfum (fragrance),Medium,2.0,Cosing EU,Undisclosed allergen mixture; declaration required
P473663,d-limonene,limonene,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473663,ethylhexyl methoxycinnamate,octinoxate,Medium,2.0,EU Annex VI; SCCS,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern
P473663,butyl methoxydibenzoylmethane,butyl methoxydibenzoylmethane,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473663,ethylhexyl salicylate,ethylhexyl salicylate,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473663,hexyl cinnamal citronellol,,Unclassified,,,
P473663,linalool,linalool,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473663,coumarin,coumarin,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473663,eugenol,eugenol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473663,citral,citral,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473663,isoeugenol,isoeugenol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473663,geraniol,geraniol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473670,alcohol denat. (sd alcohol 39c),alcohol denat,Low-Medium,1.5,Cosing EU,Drying with prolonged use
P473670,parfum (fragrance),parfum (fragrance),Medium,2.0,Cosing EU,Undisclosed allergen mixture; declaration required
P473670,d-limonene,limonene,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473670,linalool,linalool,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473670,benzyl salicylate,benzyl salicylate,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473670,ethylhexyl methoxycinnamate,octinoxate,Medium,2.0,EU Annex VI; SCCS,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern
P473670,butyl methoxydibenzoylmethane,butyl methoxydibenzoylmethane,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473670,ethylhexyl salicylate,ethylhexyl salicylate,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473670,benzl benzoate,,Unclassified,,,
P473670,citral,citral,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473670,geraniol,geraniol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473670,eugenol,eugenol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473670,benzyl alcohol,benzyl alcohol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473670,farnesol,farnesol,Medium,2.0,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473670,citronellol,citronellol,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473670,isoeugenol,isoeugenol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473664,alcohol denat. (sd alcohol 39c),alcohol denat,Low-Medium,1.5,Cosing EU,Drying with prolonged use
P473664,parfum (fragrance),parfum (fragrance),Medium,2.0,Cosing EU,Undisclosed allergen mixture; declaration required
P473664,benzyl salicylate,benzyl salicylate,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473664,d-limonene,limonene,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473664,ethylhexyl methoxycinnamate,octinoxate,Medium,2.0,EU Annex VI; SCCS,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern
P473664,butyl methoxydibenzoylmethane,butyl methoxydibenzoylmethane,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473664,ethylhexyl salicylate,ethylhexyl salicylate,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473664,linalool citral,,Unclassified,,,
P473664,alphaisomethyl ionone,,Unclassified,,,
P473664,benzyl benzoate,benzyl benzoate,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473664,geraniol farnesol,,Unclassified,,,
P473664,isoeugenol,isoeugenol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473664,eugenol,eugenol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473665,alcohol denat. (sd alcohol 39c),alcohol denat,Low-Medium,1.5,Cosing EU,Drying with prolonged use
P473665,parfum (fragrance),parfum (fragrance),Medium,2.0,Cosing EU,Undisclosed allergen mixture; declaration required
P473665,benzyl salicylate,benzyl salicylate,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473665,d-limonene,limonene,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473665,ethylhexyl methoxycinnamate,octinoxate,Medium,2.0,EU Annex VI; SCCS,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern
P473665,butyl methoxydibenzoylmethane,butyl methoxydibenzoylmethane,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473665,ethylhexyl salicylate,ethylhexyl salicylate,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473665,linalool citral,,Unclassified,,,
P473665,alphaisomethyl ionone,,Unclassified,,,
P473665,benzyl benzoate,benzyl benzoate,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473665,geraniol farnesol,,Unclassified,,,
P473665,isoeugenol,isoeugenol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473665,eugenol,eugenol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P476416,butyrospermum parkii (shea nilotica) butter,,Unclassified,,,
P476416,butyrospermum parkii (shea) butter,shea butter,Low,1.0,Cosing EU,Plant butter emollient; safe
P476416,simmondsia chinensis (jojoba) seed oil,jojoba oil,Low,1.0,Cosing EU,Liquid wax ester emollient; safe
P476416,adansonia digitata (baobab) oil,,Unclassified,,,
P476416,prunus amygdalus dulcis (sweet almond) oil,prunus amygdalus dulcis (sweet almond) oil,Low,1.0,Cosing EU,Sweet almond oil; safe
P476416,vitis vinifera (grape) seed oil,vitis vinifera (grape) seed oil,Low,1.0,Cosing EU,Grapeseed oil; safe
P476416,persea gratissima (avocado) oil,persea gratissima oil,Low,1.0,Cosing EU,Avocado oil moisturizer; safe
P476416,cocos nucifera (coconut) oil,cocos nucifera oil,Low,1.0,Cosing EU,Coconut oil moisturizer; safe
P476416,vanilla planifolia (vanilla) fruit extract,,Unclassified,,,
P476416,honey,,Unclassified,,,
P476416,tocopherol (mixed),,Unclassified,,,
P476416,beta-sitosterol,,Unclassified,,,
P476416,squalane,squalane,Low,1.0,Cosing EU,Saturated emollient; safe
P476418,butyrospermum parkii (shea nilotica) butter,,Unclassified,,,
P476418,butyrospermum parkii (shea) butter,shea butter,Low,1.0,Cosing EU,Plant butter emollient; safe
P476418,simmondsia chinensis (jojoba) seed oil,jojoba oil,Low,1.0,Cosing EU,Liquid wax ester emollient; safe
P476418,adansonia digitata (baobab) oil,,Unclassified,,,
P476418,prunus amygdalus dulcis (sweet almond) oil,prunus amygdalus dulcis (sweet almond) oil,Low,1.0,Cosing EU,Sweet almond oil; safe
P476418,vitis vinifera (grape) seed oil,vitis vinifera (grape) seed oil,Low,1.0,Cosing EU,Grapeseed oil; safe
P476418,persea gratissima (avocado) oil,persea gratissima oil,Low,1.0,Cosing EU,Avocado oil moisturizer; safe
P476418,lavandula angustifolia (lavender) flower oil,,Unclassified,,,
P476418,mentha piperita (peppermint) oil,mentha piperita (peppermint) oil,Low-Medium,1.5,Cosing EU,Peppermint oil; menthol can sensitize / irritate skin
P476418,tocopherol (mixed),,Unclassified,,,
P476418,beta-sitosterol,,Unclassified,,,
P476418,squalane,squalane,Low,1.0,Cosing EU,Saturated emollient; safe
P476418,cocos nucifera (coconut) oil,cocos nucifera oil,Low,1.0,Cosing EU,Coconut oil moisturizer; safe
P476418,(rose absolute),,Unclassified,,,
P476418,hibiscus sabdariffa (hibiscus) seed oil,,Unclassified,,,
P476418,vanilla planifolia (vanilla) fruit extract,,Unclassified,,,
P476418,honey,,Unclassified,,,
P476417,butyrospermum parkii (shea nilotica) butter,,Unclassified,,,
P476417,butyrospermum parkii (shea) butter,shea butter,Low,1.0,Cosing EU,Plant butter emollient; safe
P476417,simmondsia chinensis (jojoba) seed oil,jojoba oil,Low,1.0,Cosing EU,Liquid wax ester emollient; safe
P476417,adansonia digitata (baobab) oil,,Unclassified,,,
P476417,prunus amygdalus dulcis (sweet almond) oil,prunus amygdalus dulcis (sweet almond) oil,Low,1.0,Cosing EU,Sweet almond oil; safe
P476417,vitis vinifera (grape) seed oil,vitis vinifera (grape) seed oil,Low,1.0,Cosing EU,Grapeseed oil; safe
P476417,persea gratissima (avocado) oil,persea gratissima oil,Low,1.0,Cosing EU,Avocado oil moisturizer; safe
P476417,lavandula angustifolia (lavender) flower oil,,Unclassified,,,
P476417,mentha piperita (peppermint) oil,mentha piperita (peppermint) oil,Low-Medium,1.5,Cosing EU,Peppermint oil; menthol can sensitize / irritate skin
P476417,tocopherol (mixed),,Unclassified,,,
P476417,beta-sitosterol,,Unclassified,,,
P476417,squalane,squalane,Low,1.0,Cosing EU,Saturated emollient; safe
P476417,cocos nucifera (coconut) oil,cocos nucifera oil,Low,1.0,Cosing EU,Coconut oil moisturizer; safe
P476417,(rose absolute),,Unclassified,,,
P476417,hibiscus sabdariffa (hibiscus) seed oil,,Unclassified,,,
P476417,cymbopogon schoenanthus (lemongrass) oil,,Unclassified,,,
P476417,cymbopogon martini (palmarosa) oil,,Unclassified,,,
P476417,tanacetum annum (tansy) essential oil,,Unclassified,,,
P476417,matricaria recutita (blue chamomile flower) oil,,Unclassified,,,
P476417,vanilla planifolia (vanilla) fruit extract,,Unclassified,,,
P476417,honey,,Unclassified,,,
P503832,butyrospermum parkii (shea nilotica) butter,,Unclassified,,,
P503832,butyrospermum parkii (shea) butter,shea butter,Low,1.0,Cosing EU,Plant butter emollient; safe
P503832,simmondsia chinensis (jojoba) seed oil,jojoba oil,Low,1.0,Cosing EU,Liquid wax ester emollient; safe
P503832,adansonia digitata (baobab) oil,,Unclassified,,,
P503832,prunus amygdalus dulcis (sweet almond) oil,prunus amygdalus dulcis (sweet almond) oil,Low,1.0,Cosing EU,Sweet almond oil; safe
P503832,vitis vinifera (grape) seed oil,vitis vinifera (grape) seed oil,Low,1.0,Cosing EU,Grapeseed oil; safe
P503832,persea gratissima (avocado) oil,persea gratissima oil,Low,1.0,Cosing EU,Avocado oil moisturizer; safe
P503832,cocos nucifera (coconut) oil,cocos nucifera oil,Low,1.0,Cosing EU,Coconut oil moisturizer; safe
P503832,vanilla planifolia (vanilla) fruit extract,,Unclassified,,,
P503832,honey,,Unclassified,,,
P503832,tocopherol (mixed),,Unclassified,,,
P503832,beta-sitosterol,,Unclassified,,,
P503832,squalane,squalane,Low,1.0,Cosing EU,Saturated emollient; safe
P483068,water,water,Low,1.0,Cosing EU,Universal solvent; safe
P483068,denatured ethyl alcohol,alcohol denat,Low-Medium,1.5,Cosing EU,Drying with prolonged use
