rank,canonical_name,total_mentions,risk_level,sub_weight,health_concern,function_tag,concern_tag_list,n_concern_tags,products_containing,top_primary_categories,color_group,risk_level_label,function_tag_label,concern_labels
223,citrus limon (lemon) fruit extract,178,Medium,2.0,Lemon extract; contains furocoumarins; allowed only at natural levels; may cause skin burns with sun exposure,plant_extract,photosensitizer; irritant,2,164,Skincare (95); Hair (31); Bath & Body (15),Yellow,Moderate Risk,Plant Extract / Oil,Sun Sensitivity Risk; Skin Irritation Risk
247,methylparaben,162,Medium,2.0,"Preservative;
permitted with concentration limits; SCCS
reviewed endocrine-related concerns",preservative,annex_iii_restricted; endocrine_disruptor,2,149,Skincare (59); Makeup (49); Hair (22),Yellow,Moderate Risk,Preservative,Restricted Ingredient; Hormone Disruption Risk
268,amyl cinnamal,141,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2,135,Fragrance (69); Hair (39); Skincare (10),Yellow,Moderate Risk,Other,Fragrance Allergen; Skin Irritation Risk
282,benzophenone-4,136,Medium,2.0,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern,uv_filter,annex_iii_restricted; endocrine_disruptor,2,123,Hair (84); Skincare (23); Bath & Body (11),Yellow,Moderate Risk,UV Protection,Restricted Ingredient; Hormone Disruption Risk
300,retinyl palmitate,124,Medium,2.0,Restricted to 0.05 % RE body lotion / 0.3 % other,other,annex_iii_restricted,1,123,Skincare (43); Makeup (42); Hair (18),Yellow,Moderate Risk,Other,Restricted Ingredient
318,citrus limon (lemon) peel oil,119,Medium,2.0,Lemon peel essential oil; may cause skin burns with sun exposure,other,photosensitizer; irritant,2,114,Skincare (73); Hair (12); Bath & Body (11),Yellow,Moderate Risk,Other,Sun Sensitivity Risk; Skin Irritation Risk
327,pelargonium graveolens flower oil,115,Medium ,2.0,Geranium essential oil; fragrance allergens; may cause skin reactions,other,fragrance_allergen; irritant,2,102,Skincare (65); Hair (15); Bath & Body (9),,,Other,Fragrance Allergen; Skin Irritation Risk
355,menthol,105,Medium,2.0,Cooling agents; may sensitize/ irritate sensitive skin or eyes,other,sensitizer; irritant,2,102,Hair (37); Skincare (34); Makeup (12),Yellow,Moderate Risk,Other,Allergy Risk; Skin Irritation Risk
358,retinol,104,Medium,2.0,Vitamin A; SCCS permitted with concentration limits; pregnancy precaution,vitamin,annex_iii_restricted; reproductive_toxin,2,100,Skincare (93); Mini Size (4); Makeup (2),Yellow,Moderate Risk,Vitamin,Restricted Ingredient; Reproductive Health Concern
380,propylparaben,94,Medium,2.0,"Potential endocrine disruptor,may interfere with hormone balance",other,endocrine_disruptor,1,90,Makeup (48); Skincare (27); Mini Size (7),Yellow,Moderate Risk,Other,Hormone Disruption Risk
4,phenoxyethanol,4266,Low-Medium,1.5,"Preservative;
permitted with concentration limits; mild irritation/sensitization",preservative,annex_iii_restricted; sensitizer; irritant,3,3327,Skincare (1246); Makeup (905); Hair (788),Yellow-Green,Low-Moderate Risk,Preservative,Restricted Ingredient; Allergy Risk; Skin Irritation Risk
8,linalool,2902,Low-Medium,1.5,Fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2,2551,Fragrance (974); Hair (666); Skincare (536),Yellow-Green,Low-Moderate Risk,Other,Fragrance Allergen; Skin Irritation Risk
9,limonene,2860,Low-Medium,1.5,Fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2,2518,Fragrance (928); Hair (640); Skincare (558),Yellow-Green,Low-Moderate Risk,Other,Fragrance Allergen; Skin Irritation Risk
24,citronellol,1812,Low-Medium,1.5,Fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2,1615,Fragrance (822); Hair (292); Skincare (291),Yellow-Green,Low-Moderate Risk,Other,Fragrance Allergen; Skin Irritation Risk
31,alcohol denat,1412,Low-Medium,1.5,Drying with prolonged use,other,drying,1,1209,Fragrance (695); Skincare (202); Hair (159),Yellow-Green,Low-Moderate Risk,Other,Drying Effect
48,benzyl benzoate,972,Low-Medium,1.5,Fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2,874,Fragrance (531); Hair (116); Skincare (96),Yellow-Green,Low-Moderate Risk,Other,Fragrance Allergen; Skin Irritation Risk
50,hexyl cinnamal,931,Low-Medium,1.5,Fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2,861,Hair (330); Fragrance (327); Skincare (87),Yellow-Green,Low-Moderate Risk,Other,Fragrance Allergen; Skin Irritation Risk
51,alcohol,921,Low-Medium,1.5,Ethanol solvent; barrier-disruption potential,solvent,drying,1,860,Fragrance (364); Skincare (230); Makeup (136),Yellow-Green,Low-Moderate Risk,Solvent,Drying Effect
60,alpha-isomethyl ionone,814,Low-Medium,1.5,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2,765,Fragrance (474); Hair (146); Skincare (57),Yellow-Green,Low-Moderate Risk,Other,Fragrance Allergen; Skin Irritation Risk
59,propylene glycol,854,Low-Medium,1.5,Solvent / humectant; may cause minor irritation,humectant,irritant,1,753,Hair (344); Skincare (225); Makeup (123),Yellow-Green,Low-Moderate Risk,Moisture Attractor,Skin Irritation Risk
58,ci 42090 (blue 1),863,Low-Medium,1.5,Approved colorant; concentration restricted ,colorant,annex_iii_restricted,1,649,Makeup (432); Fragrance (106); Skincare (82),Yellow-Green,Low-Moderate Risk,Color / Pigment,Restricted Ingredient
65,butyl methoxydibenzoylmethane,716,Low-Medium,1.5,UV filter; permitted with concentration limits,uv_filter,annex_iii_restricted,1,641,Fragrance (515); Hair (59); Skincare (43),Yellow-Green,Low-Moderate Risk,UV Protection,Restricted Ingredient
66,chlorphenesin,697,Low-Medium,1.5,Preservative; permitted with concentration on limits,preservative,annex_iii_restricted,1,637,Skincare (268); Hair (184); Makeup (102),Yellow-Green,Low-Moderate Risk,Preservative,Restricted Ingredient
84,lactic acid,551,Low-Medium,1.5,Exfoliant and moisturizer; may irritate skin,moisturizer,irritant,1,509,Skincare (301); Hair (121); Makeup (41),Yellow-Green,Low-Moderate Risk,Moisturizer,Skin Irritation Risk
88,cyclopentasiloxane,515,Low-Medium,1.5,Volatile silicone; safe at cosmetic levels,silicone,,0,442,Makeup (200); Skincare (110); Hair (86),Yellow-Green,Low-Moderate Risk,Silicone,
97,ethylhexyl salicylate,480,Low-Medium,1.5,UV filter; permitted with concentration limits,uv_filter,annex_iii_restricted,1,441,Fragrance (354); Hair (53); Skincare (10),Yellow-Green,Low-Moderate Risk,UV Protection,Restricted Ingredient
125,isopropyl alcohol,374,Low-Medium,1.5,Solvent; may cause mild skin drying and irritation,solvent,irritant; drying,2,334,Hair (272); Makeup (27); Skincare (16),Yellow-Green,Low-Moderate Risk,Solvent,Skin Irritation Risk; Drying Effect
137,ci 60730 (ext violet 2),339,Low-Medium,1.5,Synthetic colorant; restricted from lips and eye area,colorant,annex_iii_restricted,1,327,Fragrance (261); Hair (34); Skincare (19),Yellow-Green,Low-Moderate Risk,Color / Pigment,Restricted Ingredient
159,glycolic acid,270,Low-Medium,1.5,Chemical peels and anti-aging skin products; can irritate skin,other,irritant,1,253,Skincare (183); Hair (34); Bath & Body (18),Yellow-Green,Low-Moderate Risk,Other,Skin Irritation Risk
154,ci 17200 (red 33),282,Low-Medium,1.5,Approved colorant; concentration restricted ,colorant,annex_iii_restricted,1,252,Fragrance (115); Makeup (64); Skincare (40),Yellow-Green,Low-Moderate Risk,Color / Pigment,Restricted Ingredient
171,potassium hydroxide,246,Low-Medium,1.5,pH adjuster; restricted due to strong alkalinity; concentration limits apply,ph_adjuster,annex_iii_restricted,1,233,Skincare (150); Hair (41); Makeup (19),Yellow-Green,Low-Moderate Risk,pH Balancer,Restricted Ingredient
126,ci 45410 (red 28),372,Low-Medium,1.5,Approved colorant; concentration restricted ,colorant,annex_iii_restricted,1,226,Makeup (270); Skincare (9); Mini Size (8),Yellow-Green,Low-Moderate Risk,Color / Pigment,Restricted Ingredient
188,sodium metabisulfite,217,Low-Medium,1.5,Antioxidant preservative; may cause reactions in sulfite-sensitive individuals,preservative,sensitizer,1,200,Skincare (127); Hair (41); Makeup (18),Yellow-Green,Low-Moderate Risk,Preservative,Allergy Risk
222,phenethyl alcohol,178,Low-Medium,1.5,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2,170,Skincare (92); Makeup (32); Hair (23),Yellow-Green,Low-Moderate Risk,Other,Fragrance Allergen; Skin Irritation Risk
252,lavandula angustifolia (lavender) oil,156,Low-Medium,1.5,Lavender oil; contains linalool which may cause skin allergy,other,sensitizer; irritant,2,152,Skincare (101); Makeup (17); Bath & Body (14),Yellow-Green,Low-Moderate Risk,Other,Allergy Risk; Skin Irritation Risk
284,citrus aurantium dulcis (orange) peel oil,136,Low-Medium,1.5,Citrus oil; may cause skin sensitivity to sunlight; contains limonene,other,photosensitizer; irritant,2,125,Skincare (66); Hair (28); Bath & Body (13),Yellow-Green,Low-Moderate Risk,Other,Sun Sensitivity Risk; Skin Irritation Risk
267,mentha piperita (peppermint) oil,143,Low-Medium,1.5,Peppermint oil; menthol can sensitize / irritate skin,other,sensitizer; irritant,2,122,Hair (52); Skincare (41); Makeup (14),Yellow-Green,Low-Moderate Risk,Other,Allergy Risk; Skin Irritation Risk
319,benzyl cinnamate,118,Low-Medium,1.5,Fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2,115,Fragrance (91); Hair (16); Mini Size (3),Yellow-Green,Low-Moderate Risk,Other,Fragrance Allergen; Skin Irritation Risk
275,sorbitan sesquioleate,139,Low-Medium,1.5,Emulsifier; documented potential for contact allergy,emulsifier,sensitizer,1,113,Makeup (77); Skincare (19); Mini Size (15),Yellow-Green,Low-Moderate Risk,Texture Blender,Allergy Risk
343,sodium c14-16 olefin sulfonate,110,Low-Medium,1.5,Anionic surfactant; potential mild irritant at higher concentrations,surfactant,irritant,1,110,Hair (65); Skincare (26); Bath & Body (12),Yellow-Green,Low-Moderate Risk,Cleanser / Foaming Agent,Skin Irritation Risk
349,sodium laureth sulfate,107,Low-Medium,1.5,"Mild anionic surfactant; potential 1,4-dioxane manufacturing impurity",surfactant,manufacturing_impurity,1,106,Hair (48); Skincare (21); Bath & Body (15),Yellow-Green,Low-Moderate Risk,Cleanser / Foaming Agent,Production Contamination Risk
345,citrus aurantium bergamia (bergamot) fruit oil,110,Low-Medium,1.5,Bergamot oil; potentially phototoxic (bergapten); may cause skin sensitization,other,sensitizer; photosensitizer; irritant,3,105,Skincare (68); Hair (13); Bath & Body (8),Yellow-Green,Low-Moderate Risk,Other,Allergy Risk; Sun Sensitivity Risk; Skin Irritation Risk
347,cyclohexasiloxane,108,Low-Medium,1.5,Volatile silicone (D5); EU environmental review for PBT properties; safe for topical use,silicone,environmental_concern,1,103,Makeup (44); Skincare (41); Hair (13),Yellow-Green,Low-Moderate Risk,Silicone,Environmental Concern
277,vanillin,138,Low-Medium,1.5,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2,71,Makeup (33); Skincare (18); Fragrance (13),Yellow-Green,Low-Moderate Risk,Other,Fragrance Allergen; Skin Irritation Risk
228,ptfe,176,Low-Medium,1.5,Microplastic polymer (Teflon); targeted for phase-outs in the EU,other,microplastic; environmental_concern,2,52,Makeup (48); Mini Size (2); Men (2),Yellow-Green,Low-Moderate Risk,Other,Microplastic; Environmental Concern
1,water,6805,Low,1.0,Universal solvent; safe,solvent,,0,5559,Skincare (2167); Hair (1216); Fragrance (1047),Green,Low Risk,Solvent,
3,glycerin,4393,Low,1.0,Solvent; skin conditioning; moisturizer; safe,moisturizer,,0,3766,Skincare (1788); Hair (905); Makeup (644),Green,Low Risk,Moisturizer,
6,tocopherol,3053,Low,1.0,Vitamin E antioxidant; safe,antioxidant,,0,2549,Skincare (1009); Makeup (748); Hair (446),Green,Low Risk,Antioxidant,
14,citric acid,2437,Low,1.0,pH adjuster; safe,ph_adjuster,,0,2221,Skincare (956); Hair (723); Makeup (271),Green,Low Risk,pH Balancer,
15,butylene glycol,2372,Low,1.0,Humectant / solvent; safe at cosmetic concentration,humectant,,0,2146,Skincare (1080); Makeup (516); Hair (384),Green,Low Risk,Moisture Attractor,
11,caprylyl glycol,2835,Low,1.0,Humectant /preservative booster; safe,preservative,,0,2122,Skincare (798); Makeup (741); Hair (369),Green,Low Risk,Preservative,
2,dimethicone,4444,Low,1.0,Skin-protectant silicone; non-irritating,silicone,,0,2064,Makeup (1756); Skincare (1036); Hair (373),Green,Low Risk,Silicone,
12,ethylhexylglycerin,2513,Low,1.0,Skin conditioning; low irritation,conditioner,irritant,1,1925,Skincare (836); Makeup (483); Hair (414),Green,Low Risk,Hair Conditioner,Skin Irritation Risk
7,titanium dioxide (ci 77891),2925,Low,1.0,UV filter and colorant; safe,uv_filter,,0,1876,Makeup (1391); Skincare (343); Mini Size (89),Green,Low Risk,UV Protection,
19,potassium sorbate,1966,Low,1.0,Preservative; safe at cosmetic levels,preservative,,0,1730,Skincare (682); Hair (553); Makeup (346),Green,Low Risk,Preservative,
17,sodium hyaluronate,2215,Low,1.0,Humectant; safe,humectant,,0,1693,Skincare (1290); Makeup (436); Hair (165),Green,Low Risk,Moisture Attractor,
10,silica,2850,Low,1.0,Absorbent / anti caking; safe topically,absorbent,,0,1678,Makeup (1199); Skincare (425); Mini Size (96),Green,Low Risk,Oil Absorber,
23,sodium benzoate,1814,Low,1.0,Preservative; safe at cosmetic levels,preservative,,0,1613,Skincare (701); Hair (570); Makeup (198),Green,Low Risk,Preservative,
13,iron oxides (ci 77491),2486,Low,1.0,Approved colorant; safe,colorant,,0,1553,Makeup (1368); Skincare (160); Mini Size (85),Green,Low Risk,Color / Pigment,
21,caprylic/capric triglyceride,1863,Low,1.0,Coconut-derived moisturizer; safe,moisturizer,,0,1552,Skincare (709); Makeup (499); Hair (144),Green,Low Risk,Moisturizer,
22,disodium edta,1826,Low,1.0,Chelating agent; safe at cosmetic levels,chelator,,0,1545,Skincare (784); Hair (385); Makeup (287),Green,Low Risk,Stability Agent,
25,propanediol,1743,Low,1.0,Humectant/solvent; well tolerated,humectant,,0,1519,Skincare (866); Hair (286); Makeup (261),Green,Low Risk,Moisture Attractor,
27,tocopheryl acetate,1708,Low,1.0,Vitamin E ester antioxidant; safe,antioxidant,,0,1486,Skincare (605); Makeup (556); Hair (177),Green,Low Risk,Antioxidant,
18,iron oxides (ci 77499),2133,Low,1.0,Approved colorant; safe,colorant,,0,1391,Makeup (1283); Mini Size (89); Skincare (48),Green,Low Risk,Color / Pigment,
16,mica (ci 77019),2357,Low,1.0,Approved colorant; safe,colorant,,0,1342,Makeup (1006); Skincare (217); Mini Size (68),Green,Low Risk,Color / Pigment,
20,iron oxides (ci 77492),1956,Low,1.0,Approved colorant; safe,colorant,,0,1330,Makeup (1206); Skincare (94); Mini Size (73),Green,Low Risk,Color / Pigment,
32,xanthan gum,1373,Low,1.0,Hydration and conditioning; safe,conditioner,,0,1265,Skincare (832); Makeup (186); Hair (97),Green,Low Risk,Hair Conditioner,
34,sodium hydroxide,1345,Low,1.0,pH adjuster; safe,ph_adjuster,,0,1248,Skincare (688); Hair (293); Makeup (118),Green,Low Risk,pH Balancer,
29,helianthus annuus seed oil,1461,Low,1.0,Sunflower oil moisturizer; safe,moisturizer,,0,1197,Skincare (567); Hair (373); Makeup (221),Green,Low Risk,Moisturizer,
35,cetearyl alcohol,1189,Low,1.0,Fatty alcohol emulsifier; safe,emulsifier,,0,1103,Hair (466); Skincare (442); Bath & Body (112),Green,Low Risk,Texture Blender,
37,panthenol,1150,Low,1.0,Pro-Vvitamin B5 humectant; safe,humectant,,0,1064,Hair (465); Skincare (339); Makeup (160),Green,Low Risk,Moisture Attractor,
33,ci 19140 (yellow 5),1366,Low,1.0,Approved colorant; safe,colorant,,0,1000,Makeup (579); Fragrance (238); Skincare (122),Green,Low Risk,Color / Pigment,
36,jojoba oil,1163,Low,1.0,Liquid wax ester emollient; safe,emollient,,0,946,Skincare (382); Makeup (256); Hair (224),Green,Low Risk,Skin Softener,
44,pentylene glycol,1037,Low,1.0,Humectant/solvent; low irritation,humectant,irritant,1,940,Skincare (515); Makeup (216); Hair (140),Green,Low Risk,Moisture Attractor,Skin Irritation Risk
43,squalane,1059,Low,1.0,Saturated emollient; safe,emollient,,0,931,Skincare (538); Makeup (208); Hair (85),Green,Low Risk,Skin Softener,
42,shea butter,1072,Low,1.0,Plant butter emollient; safe,emollient,,0,912,Skincare (376); Hair (242); Makeup (195),Green,Low Risk,Skin Softener,
46,aloe barbadensis,1031,Low,1.0,Plant extract soothing; safe,soothing,,0,904,Skincare (441); Hair (236); Makeup (93),Green,Low Risk,Soothing Agent,
40,ascorbic acid,1106,Low,1.0,Vitamin C antioxidant; safe,antioxidant,,0,898,Skincare (586); Makeup (255); Hair (107),Green,Low Risk,Antioxidant,
56,sodium chloride,891,Low,1.0,Salt; safe,salt,,0,832,Skincare (303); Hair (245); Makeup (178),Green,Low Risk,Salt,
57,glyceryl stearate,880,Low,1.0,Emulsifier; safe,emulsifier,,0,832,Skincare (440); Makeup (154); Hair (114),Green,Low Risk,Texture Blender,
52,2-hexanediol,919,Low,1.0,Solvent/preservative-booster; safe at cosmetic levels,preservative,,0,809,Skincare (477); Makeup (258); Mini Size (28),Green,Low Risk,Preservative,
62,carbomer,763,Low,1.0,Polyacrylic acid thickener; safe,thickener,,0,714,Skincare (486); Hair (89); Makeup (69),Green,Low Risk,Thickener,
63,cetyl alcohol,733,Low,1.0,Fatty alcohol emollient; safe,emollient,,0,684,Skincare (281); Hair (238); Makeup (67),Green,Low Risk,Skin Softener,
61,pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate,804,Low,1.0,Antioxidant; safe,antioxidant,,0,679,Makeup (381); Skincare (98); Hair (91),Green,Low Risk,Antioxidant,
41,tin oxide (ci 77861),1072,Low,1.0,Approved colorant; safe,colorant,,0,668,Makeup (492); Skincare (99); Mini Size (40),Green,Low Risk,Color / Pigment,
68,stearic acid,685,Low,1.0,Fatty acid emulsifier; safe,emulsifier,,0,629,Skincare (254); Makeup (235); Hair (44),Green,Low Risk,Texture Blender,
47,synthetic fluorphlogopite,976,Low,1.0,Skin tone enhancer; safe,colorant,,0,628,Makeup (503); Skincare (68); Mini Size (35),Green,Low Risk,Color / Pigment,
64,camellia sinensis leaf extract,725,Low,1.0,Green tea polyphenol antioxidant; safe,antioxidant,,0,622,Skincare (372); Hair (107); Makeup (87),Green,Low Risk,Antioxidant,
74,lecithin,619,Low,1.0,Phospholipid emulsifier; safe,emulsifier,,0,589,Skincare (350); Makeup (167); Hair (25),Green,Low Risk,Texture Blender,
71,cocos nucifera oil,673,Low,1.0,Coconut oil moisturizer; safe,moisturizer,,0,576,Hair (258); Skincare (131); Makeup (89),Green,Low Risk,Moisturizer,
77,sodium citrate,599,Low,1.0,pH buffer; safe,ph_adjuster,,0,573,Skincare (360); Makeup (99); Hair (62),Green,Low Risk,pH Balancer,
75,isododecane,607,Low,1.0,Volatile hydrocarbon solvent; safe,solvent,,0,545,Makeup (327); Skincare (97); Hair (79),Green,Low Risk,Solvent,
73,hexylene glycol,633,Low,1.0,Solvent / humectant; safe,humectant,,0,531,Skincare (209); Makeup (186); Hair (82),Green,Low Risk,Moisture Attractor,
79,polysorbate 20,594,Low,1.0,Non-ionic emulsifier; safe,emulsifier,,0,526,Skincare (309); Hair (112); Makeup (73),Green,Low Risk,Texture Blender,
87,niacinamide,529,Low,1.0,Vitamin B3; well tolerated,vitamin,,0,505,Skincare (342); Makeup (70); Hair (51),Green,Low Risk,Vitamin,
83,rosmarinus officinalis extract,562,Low,1.0,Rosemary antioxidant extract; safe,antioxidant,,0,497,Skincare (206); Hair (176); Makeup (50),Green,Low Risk,Antioxidant,
80,polyethylene,590,Low,1.0,Synthetic polymer; safe,polymer,,0,464,Makeup (390); Skincare (48); Mini Size (17),Green,Low Risk,Synthetic Polymer,
72,octyldodecanol,647,Low,1.0,Fatty alcohol emollient; safe,emollient,,0,460,Makeup (328); Skincare (87); Hair (18),Green,Low Risk,Skin Softener,
89,disteardimonium hectorite,505,Low,1.0,Rheology modifier; safe,thickener,,0,455,Makeup (354); Skincare (63); Mini Size (19),Green,Low Risk,Thickener,
98,caffeine,475,Low,1.0,Antioxidant; safe,antioxidant,,0,454,Skincare (280); Makeup (67); Hair (48),Green,Low Risk,Antioxidant,
53,ci 15850 (red 7),919,Low,1.0,Approved colorant; safe,colorant,,0,442,Makeup (652); Mini Size (25); Skincare (22),Green,Low Risk,Color / Pigment,
100,hydroxyethylcellulose,460,Low,1.0,Plant-based thickener; controls product texture; safe,thickener,,0,440,Hair (148); Skincare (133); Makeup (120),Green,Low Risk,Thickener,
99,maltodextrin,467,Low,1.0,Starch-based binder; helps hold product together; safe,thickener,,0,437,Skincare (260); Makeup (70); Hair (69),Green,Low Risk,Thickener,
45,talc,1035,Low,1.0,Moisture absorption; texture enhancement; safe,absorbent,,0,416,Makeup (356); Mini Size (32); Skincare (22),Green,Low Risk,Oil Absorber,
104,sodium pca,437,Low,1.0,Natural skin moisturizing factor; safe,moisturizer,,0,414,Skincare (229); Hair (110); Makeup (30),Green,Low Risk,Moisturizer,
107,polysorbate 60,426,Low,1.0,Blends oil and water in formulas; safe,emulsifier,,0,409,Skincare (198); Hair (83); Makeup (80),Green,Low Risk,Texture Blender,
69,ethylhexyl palmitate,676,Low,1.0,Emollient ester; safe,emollient,,0,398,Makeup (252); Skincare (96); Mini Size (18),Green,Low Risk,Skin Softener,
