ingredient,issue,frequency,length
mica  caprylic/capric triglyceride  dimethicone  diisostearyl malate  silica  zinc stearate  caprylyl glycol  ethylhexylglycerin  alumina  tocopheryl acetate  synthetic fluorphlogopite  triethoxycaprylylsilane  c20-24 olefin  +/- titanium dioxide (ci 77891)  iron oxides (ci 77491)  iron oxides (ci 77492)  iron oxides (ci 77499)  carmine (ci 75470)  ferric ammonium ferrocyanide (ci 77510)  ferric ferrocyanide (ci 77510)  ultramarines (ci 77007)  blue 1 lake (ci 42090)  yellow 5 lake (ci 19140)  manganese violet (ci 77742)  copper powder (ci 77400)  chromium hydroxide green (ci 77289)  chromium oxide greens (ci 77288)  bronze powder (ci 77400)  aluminum powder (ci 77000)  bismuth oxychloride (ci 77163),unusually long,1,709
triisodecyl trimellitate trimethylolpropane triisostearate polybutene octyldodecanol titanium dioxide (ci 77891) microcrystalline wax (cera microcristallina) hydrogenated polyisobutene caprylic/capric triglyceride vp/eicosene copolymer polyethylene mica iron oxides (ci 77491) iron oxides (ci 77492) stearalkonium bentonite methyl methacrylate crosspolymer red 7 lake (ci 15850) hydrogenated styrene/butadiene copolymer phytosteryl isostearate propylene carbonate blue 1 lake (ci 42090) pentaerythrityl tetra-di-t- butyl hydroxyhydrocinnamate ethyl vanillin dicalcium phosphate bht rubus idaeus (raspberry) leaf extract rubus idaeus leaf extract yellow 5 lake (ci 19140) tin oxide,unusually long,1,680
talc  synthetic fluorphlogopite octyldodecyl stearoyl stearate silica diisostearyl malate mica caprylyl glycol ethylhexylglycerin tin oxide ptfe zinc stearate calcium titanium borosilicate calcium aluminum borosilicatecalcium sodium borosilicate aluminum calcium sodium silicate alumina titanium dioxide (ci 77891) iron oxides (ci 77491) iron oxides (ci 77492) iron oxides (ci 77499) aluminum powder (ci 77000) blue 1 lake (ci 42090) bronze powder (ci 77400) copper powder (ci 77400) ferric ammonium ferrocyanide (ci 77510) ferric ferrocyanide (ci 77510) manganese violet (ci 77742) yellow 5 lake (ci 19140) ultramarines (ci 77007),unusually long,1,631
talc octyldodecyl stearoyl stearateci 77891 (titanium dioxide)synthetic fluorphlogopite alumina diisostearyl malate silicaci 75470 (carmine)ci 77491 (iron oxides)tin oxide caprylyl glycol ethylhexylglycerin mica ptfe zinc stearateci 77007 (ultramarines)ci 77492 (iron oxides) ci 77499 (iron oxides)ci 42090 (blue 1 lake)ci 77510 (ferric ammonium ferrocyanide)ci 19140 (yellow 5 lake)ci 77400 (bronze powder)ci 77400 (copper powder)ci 77000 (aluminum powder)calcium titanium borosilicate calcium aluminum borosilicate calcium sodium borosilicate aluminum calcium sodium silicate,unusually long,1,577
mica dimethicone squalane silica trimethylsiloxysilicate hydrogenated styrene/isoprene copolymer zinc stearate caprylyl glycol  ethylhexylglycerin octyldodecyl stearoyl stearate boron nitride dimethicone/vinyl dimethicone crosspolymer pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate laureth-4 ci 77891 (titanium dioxide) ci 77491 (iron oxides) ci 77492 (iron oxides) ci 77499 (iron oxides) ci 42090 (blue 1 lake) ci 75470 (carmine) ci 77510 (ferric ammonium ferrocyanide) ci 77007 (ultramarines) ci 19140 (yellow 5 lake),unusually long,1,527
talc mica octyldodecyl stearoyl stearate diisostearyl malate calcium aluminum borosilicate caprylyl glycol ethylhexylglycerin tin oxide ptfe zinc stearate calcium sodium borosilicatesilica calcium titanium borosilicate synthetic fluorphlogopite aluminum calcium sodium silicate alumina titanium dioxide (ci 77891) iron oxides (ci 77491iron oxides (ci 77492) iron oxides (ci 77499) aluminum powder (ci 77000) bronze powder (ci 77400) carmine (ci 75470) copper powder (ci 77400)ferric ferrocyanide (ci 77510),unusually long,1,506
talc octyldodecyl stearoyl stearate micaci 77491 (iron oxides)silica calcium aluminum borosilicate diisostearyl malateci 77400 (copper powder)ci 77499 (iron oxides) ci 77492 (iron oxides)ci 77891 (titanium dioxide)ci 75470 (carmine)caprylyl glycol ethylhexylglycerin tin oxide ptfe zinc stearateci 77400 (bronze powder)calcium titanium borosilicate calcium sodium borosilicate aluminum calcium sodium silicate aluminacorporate regulatory affairs officesynthetic fluorphlogopiteci 77510 (ferric ferrocyanide,unusually long,1,506
propylene glycol dimethicone glycerin ascorbic acid ethylhexyl palmitate cetyl peg/ppg-10/1 dimethicone dimethicone crosspolymer ascorbyl glucoside cyclohexasiloxane hydroxyethylpiperazine ethane sulfonic acid lauroyl lysine acrylonitrile/methyl methacrylate/vinylidene chloride copolymer polysilicone-11 adenosine hydrolyzed hyaluronic acid limonene isobutane citrus aurantium dulcis (orange) peel oil citrus limon peel oil / lemon peel oil citral pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate,unusually long,1,503
aqua/water. sodium laureth sulfate. coco-betaine. laureth-5 carboxylic acid. cocamide mipa. imodimethicone. sodium chloride. polyquaternium-10. ppg-5-ceteth-20. sodium benzoate. benzophenone-4. peg-55 propylene glycol oleate. propylene glycol. salicylic acid. sodium hydroxide. benzyl salicylate. benzyl alcohol. citronellol. linalool. methyl cocoate. geraniol. sodium cocoate. shorea robusta butter. shorea robusta seed butter. ci 19140/yellow 5. ci 14700/red 4. citric acid. parfum/fragrance,unusually long,1,493
iron oxides ci 77499 black 2 ci 77266 (nano) ferric ammonium ferrocyanide ci 77510 (the allergen substances are not present corporate - regulatory affairs office) ascorbyl palmitate citric acid lecithin tocopherol disteardimonium hectorite propylene carbonate caprylyl methicone dicalcium phosphate disiloxane mica phenylpropyldimethylsiloxysilicate polyhydroxystearic acid bis-diglyceryl polyacyladipate-2 polyethylene trimethylsiloxysilicate synthetic wax dimethicone,unusually long,1,469
talc mica octyldodecyl stearoyl stearate calcium sodium borosilicate ci 77891 (titanium dioxide) diisostearyl malate ci 75470 (carmine ) ci 77400 (copper powder) ci 77491 (iron oxides) alumina ci 19140 (yellow 5 lake) caprylyl glycol ethylhexylglycerin ci 77499 (iron oxides) silica tin oxide ptfe zinc stearate synthetic fluorphlogopite calcium titanium borosilicate calcium aluminum borosilicate aluminum calcium sodium silicate ci 77492 (iron oxides),unusually long,1,453
talcci 77491 (iron oxides)synthetic fluorphlogopite octyldodecyl stearoyl stearateci 77400 (copper powder)calcium titanium borosilicate diisostearyl malateci 77492 (iron oxides) ci 77499 (iron oxides)calcium sodium borosilicate calcium aluminum borosilicateci 75470 (carmine)ci 77891 (titanium dioxide)silica caprylyl glycol ethylhexylglycerinci 19140 (yellow 5 lake)tin oxide ptfe zinc stearateci 77400 (bronze powder)aluminum calcium sodium silicate,unusually long,1,451
talc calcium sodium borosilicate synthetic fluorphlogopite octyldodecyl stearoyl stearateci 77491 (iron oxides)diisostearyl malate aluminaci 77891 (titanium dioxide)caprylyl glycol ethylhexylglycerin mica tin oxide ptfe zinc stearate calcium titanium borosilicate calcium aluminum borosilicate silica aluminum calcium sodium silicateci 77510 (ferric ferrocyanide)ci 77492 (iron oxides)corporate regulatory affairs officeci 77499 (iron oxides),unusually long,1,442
synthetic fluorphlogopite zinc stearate triethoxycaprylylsilane caprylyl glycol dimethicone ethylhexylglycerin hdi/trimethylol hexyllactone crosspolymer alumina glycerin silica titanium dioxide (ci 77891) iron oxides (ci 77491) iron oxides (ci 77492) iron oxides (ci 77499) blue 1 lake ci 42090 carmine (ci 75470) ferric ammonium ferrocyanide (ci 77510) yellow 5 lake (ci 19140) ultramarines (ci 77007),unusually long,1,402
mica dimethicone squalane titanium dioxide ci 77891 silica trimethylsiloxysilicate iron oxides ci 77499 iron oxides ci 77492 hydrogenated styrene/isoprene copolymer blue 1 lake ci 42090 zinc stearate caprylyl glycol ethylhexylglycerin octyldodecyl stearoyl stearate boron nitride dimethicone/vinyl dimethicone crosspolymer pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate tocopherol laureth-4,unusually long,1,398
polybutene; hydrogenated polyisobutene; dextrin palmitate; bis-diglyceryl polyacyladipate-2; polydecene; magnolia officinalis bark extract; limnanthes alba (meadowfoam) seed oil; lecithin; caprylyl glycol; simethicone; pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate; hexylene glycol; fragrance (parfum); phenoxyethanol; +/- titanium dioxide (ci 77891); iron oxides (ci 77491,unusually long,1,382
talc mica octyldodecyl stearoyl stearate diisostearyl malate caprylyl glycol ethylhexylglycerin ptfe zinc stearate synthetic fluorphlogopite calcium aluminum borosilicate silica calcium sodium borosilicate aluminum calcium sodium silicate alumina tin oxide titanium dioxide (ci 77891) iron oxides (ci 77491) carmine (ci 75470) ferric ferrocyanide (ci 77510),unusually long,1,357
talc octyldodecyl stearoyl stearate titanium dioxide ci 77891 alumina mica diisostearyl malate aluminum powder ci 77000 synthetic fluorphlogopite zinc stearate yellow 5 lake ci 19140 silica iron oxides ci 77491 caprylyl glycol ethylhexylglycerin tin oxide ferric ammonium ferrocyanide ci 77510 ferric ferrocyanide ci 77510 iron oxides ci 77499 tocopherol,unusually long,1,354
ci 77499); red 7 lake (ci 15850); blue 1 lake (ci 42090); manganese violet (ci 77742); yellow 5 lake (ci 19140); red 22 lake (ci 45380); red 30 lake (ci 73360); mica; red 6 (ci 15850); yellow 6 lake (ci 15985); carmine (ci 75470); bismuth oxychloride (ci 77163); red 33 lake (ci 17200); orange 5 (ci 45370); red 28 lake (ci 45410),unusually long,1,330
talc calcium aluminum borosilicate octyldodecyl stearoyl stearate calcium sodium borosilicate synthetic fluorphlogopite diisostearyl malate silica caprylyl glycol ethylhexylglycerin tin oxide ptfe zinc stearate ci 77891 (titanium dioxide) ci 77491 (iron oxides) ci 77492 (iron oxides) ci 77499 (iron oxides) ci 75470 (carmine),unusually long,1,326
synthetic fluorphlogopite zinc stearate    titanium dioxide ci 77891  iron oxides ci 77499    iron oxides ci 77492    dimethicone    blue 1 lake ci 42090    triethoxycaprylylsilane  caprylyl glycol    ethylhexylglycerin    hdi/trimethylol hexyllactone crosspolymer silica    iron oxides ci 77491    tocopherol,unusually long,1,309
diisostearyl malate octyldodecanol mica polyglyceryl-3 diisostearate polyethylene titanium dioxide (ci 77891) microcrystalline wax (cera microcristallina) hydrogenated microcrystalline wax synthetic wax iron oxides (ci 77491) carthamus tinctorius (safflower) seed oil carthamus tinctorius seed oil,unusually long,1,297
synthetic fluorphlogopite titanium dioxide ci 77891 zinc stearate carmine ci 75470 iron oxides ci 77491 iron oxides ci 77499 dimethicone iron oxides ci 77492 triethoxycaprylylsilane caprylyl glycol ethylhexylglycerin hdi/trimethylol hexyllactone crosspolymer maltodextrin silica tocopherol,unusually long,1,289
synthetic fluorphlogopite titanium dioxide ci 77891 zinc stearate dimethicone iron oxides ci 77491 iron oxides ci 77492 carmine ci 75470 triethoxycaprylylsilane iron oxides ci 77499 caprylyl glycol ethylhexylglycerin hdi/trimethylol hexyllactone crosspolymer maltodextrin silica tocopherol,unusually long,1,289
calcium aluminum borosilicate caprylic/capric triglyceride diisostearyl malate glass beadsglyceryl caprylate mica titanium dioxide ci 77891 iron oxides ci 77491 zea mays (corn) starch zea mays starch zinc stearate p-anisic acid iron oxides ci 77499 tin oxide synthetic fluorphlogopite,unusually long,1,284
talc calcium aluminum borosilicate mica octyldodecyl stearoyl stearate iron oxides ci 77491 diisostearyl malate titanium dioxide ci 77891 silica zinc stearate synthetic fluorphlogopite caprylyl glycol ethylhexylglycerin carmine ci 75470 iron oxides ci 77499 tin oxide tocopherol,unusually long,1,278
calcium titanium borosilicate caprylic/capric triglyceride diisostearyl malateglass beadsmicasynthetic fluorphlogopite zea mays (corn) starch zea mays starch glyceryl caprylate p-anisic acid zinc stearate tin oxide titanium dioxide (ci 77891) iron oxides (ci 77491),unusually long,1,265
synthetic fluorphlogopite titanium dioxide ci 77891 zinc stearate iron oxides ci 77492 dimethicone iron oxides ci 77499 triethoxycaprylylsilane blue 1 lake ci 42090 caprylyl glycol ethylhexylglycerin hdi/trimethylol hexyllactone crosspolymer mica silica tocopherol,unusually long,1,264
mica; titanium dioxide (ci 77891); iron oxides (ci 77491; ci 77492; ci 77499); carmine (ci 75470); yellow 5 lake (ci 19140); blue 1 lake (ci 42090); red 6 (ci 15850); red 7 lake (ci 15850); red 33 lake (ci 17200); red 30 lake (ci 73360); red 28 lake (ci 45410),unusually long,1,260
synthetic fluorphlogopite titanium dioxide ci 77891 zinc stearate iron oxides ci 77492 iron oxides ci 77499 dimethicone iron oxides ci 77491 triethoxycaprylylsilane caprylyl glycol ethylhexylglycerin hdi/trimethylol hexyllactone crosspolymer silica tocopherol,unusually long,1,259
synthetic fluorphlogopite titanium dioxide ci 77891 zinc stearate iron oxides ci 77499 iron oxides ci 77492 dimethicone iron oxides ci 77491 triethoxycaprylylsilane caprylyl glycol ethylhexylglycerin hdi/trimethylol hexyllactone crosspolymer silica tocopherol,unusually long,1,259
synthetic fluorphlogopite neopentyl glycol dicaprylate/dicaprate dimethicone titanium/titanium dioxide peg-12 dimethicone sorbitan isostearate dimethicone/vinyl dimethicone crosspolymer glycerin polysorbate 60 caprylyl glycol ethylhexylgl ycerin tin oxide 1,unusually long,1,257
talc aluminum calcium sodium silicate octyldodecyl stearoyl stearate calcium aluminum borosilicate mica titanium dioxide ci 77891 diisostearyl malate caprylyl glycol ethylhexylglycerin iron oxides ci 77491 tin oxide carmine ci 75470 zinc stearate tocopherol,unusually long,1,257
synthetic fluorphlogopite zea mays (corn) starch zea mays starch zinc stearate caprylic/capric triglyceride diisostearyl malate glyceryl caprylate p-anisic acid rosa hybrid flower extract iron oxides (ci 77491) iron oxides (ci 77492) iron oxides (ci 77499),unusually long,1,256
synthetic fluorphlogopite zinc stearate dimethicone triethoxycaprylylsilane caprylyl glycol ethylhexylglycerin hdi/trimethylol hexyllactone crosspolymersilica iron oxides (ci 77491)iron oxides (ci 77499)carmine (ci 75470)ultramarines (ci 77007),unusually long,1,244
talc octyldodecyl stearoyl stearate mica titanium dioxide ci 77891 alumina diisostearyl malate zinc stearate iron oxides ci 77491 bronze powder ci 77400 iron oxides ci 77499 silica tin oxide caprylyl glycol ethylhexylglycerin tocopherol,unusually long,1,236
synthetic fluorphlogopite neopentyl glycol dicaprylate/dicaprate dimethicone peg-12 dimethicone sorbitan isostearate dimethicone/vinyl dimethicone crosspolymer glycerin polysorbate 60 caprylyl glycol ethylhexylgl ycerin tin oxide 1,unusually long,1,231
synthetic fluorphlogopite neopentyl glycol dicaprylate/dicaprate dimethicone peg-12 dimethicone tin oxide sorbitan isostearate dimethicone/vinyl dimethicone crosspolymer glycerin polysorbate 60 caprylyl glycol ethylhexylgl ycerin 1,unusually long,1,231
talc mica titanium dioxide ci 77891 octyldodecyl stearoyl stearate diisostearyl malate iron oxides ci 77499 chromium oxide greens ci 77288 caprylyl glycol ethylhexylglycerin iron oxides ci 77491 zinc stearate tocopherol,unusually long,1,219
talc mica octyldodecyl stearoyl stearate titanium dioxide ci 77891 diisostearyl malate synthetic fluorphlogopite caprylyl glycol ethylhexylglycerin chromium oxide greens ci 77288 tin oxide zinc stearate tocopherol,unusually long,1,213
talc mica iron oxides ci 77499 octyldodecyl stearoyl stearate diisostearyl malate titanium dioxide ci 77891 zinc stearate iron oxides ci 77491 caprylyl glycol ethylhexylglycerin iron oxides ci 77492 tocopherol,unusually long,1,209
talc mica octyldodecyl stearoyl stearate iron oxides ci 77499 titanium dioxide ci 77891 iron oxides ci 77491 diisostearyl malate caprylyl glycol ethylhexylglycerin iron oxides ci 77492 zinc stearate tocopherol,unusually long,1,209
mica neopentyl glycol dicaprylate/dicaprate dimethicone peg-12 dimethicone sorbitan isostearate dimethicone/vinyl dimethicone crosspolymer silica gl ycerin polysorbate 60 caprylyl glycol ethylhexylgl ycerin 1,unusually long,1,208
pseudozyma epicola/prunus amygdalus dulcis (sweet almond) oil/camellia japonica seed oil/argania spinosa kernel oil/helianthus annuus (sunflower) seed oil/camellia sinensis seed oil ferment extract filtrate,unusually long,1,206
pseudozyma epicola/prunusamygdalus dulcis (sweet almond) oil/camellia japonica seed oil/argania spinosakernel oil/helianthus annuus (sunflower) seed oil/camellia sinensis seed oilferment extract filtrate,unusually long,1,203
mica neopentyl glycol dicaprylate/dicaprate dimethicone peg-12 dimethicone sorbitan isostearate dimethicone/vinyl dimethicone crosspolymer glycerin polysorbate 60 caprylyl glycol ethylhexylgl ycerin 1,unusually long,1,200
lactobacillus/honeysuckle flower/licorice root/morus alba root/pueraria lobata root/schisandra chinensis fruit/scutellaria baicalensis root/sophora japonica flower extract ferment filtrate,unusually long,1,188
2-hexanediol xanthan gum chondrus crispus (carrageenan) hydrogenated lecithin sodium citrate titanium dioxide (ci 77891) iron oxides (ci 77491) aluminum powder (ci 77000),unusually long,1,170
these amino-acid-rich lipopeptides provide a triple-firming effect that helps support skin integrity and natural skin-aging defenses and tone the look of skin,unusually long,1,158
pseudozyma epicola / apricot kernel oil / olive fruit oil / sunflower seed oil / sweet almond oil / angelica gigas root extract ferment extract filtrate,unusually long,1,152
simmondsia chinensis (jojoba) seed oilbutyrospermum parkii (shea) butter mica 77019   canola oil copernicia cerifera (carnauba) wax glyceryl caprylate,unusually long,1,150
ci 77491 (iron oxides) octyldodecyl stearoyl stearate calcium aluminum borosilicate mica diisostearyl malate alumina ci 77891 (titanium dioxide),unusually long,1,144
cocos nucifera (coconut) oil vitis vinifera (grape) seed extract gardenia taitensis (tiare) flower extract silk powder\\serica\\poudre de soie,unusually long,1,142
honey grail contains a highly purified version of coconut oil that reduces the risk for comedogenicity. through a process called fractionation,unusually long,1,142
pseudozyma epicola/apricot kernel oil/olive fruit oil/sunflower seed oil/sweet almond oil/angelica gigas root extract ferment extract filtrate,unusually long,1,142
pseudozyma epicola/apricot kernel oil/olive fruit oil/sunflower seed oil/sweet almond oil/(angelica gigas/lithospermum erythrorhizon) root,unusually long,1,138
maris sal/sea salt/sel marin.ci 14700/red 4.ci 17200/red 33.polyvinyl alcohol.copper palmitoyl heptapeptide-14 .heptapeptide-15 palmitate,unusually long,1,137
calcium titanium borosilicate calcium sodium borosilicate aluminum calcium sodium silicate ci 77492 (iron oxides) ci 77499 (iron oxides),unusually long,1,136
pseudozyma epicola/apricot kernel oil/olive fruit oil/sweet almond oil/sunflower seed oil/licorice root extract ferment extract filtrate,unusually long,1,136
acacia decurrens/jojoba/sunflower seed cera/polyglyceryl-3 esters (acacia decurrens/jojoba/sunflower seed wax polyglyceryl-3 esters),unusually long,1,132
d’orientine els (caprylic/capric triglyceride/phoenix dactylifera (date) fruit extract/brassica campestris (rapeseed) sterols),unusually long,1,126
rosmarinus officinalis (rosemary) leaf extracthypnea musciformis (red algae) extractundaria pinnatifida (brown algae) extract,unusually long,1,125
glycidoxypropyl trimethoxysilane/methacryloyl propyltrimethoxysilane /methyltriethoxysilane /mercaptopropyltrimethoxysilane,unusually long,1,123
petrolatum (petrolatum). avocadin hu 25 (persea gratissima (avacado) oil/phytosterols/olea eurpaea (olive) fruit extract),unusually long,1,121
pseudozyma epicola / camellia sinensis seed oil / glucose / malt extract / soybean flour / yeast extract ferment filtrate,unusually long,1,121
2-hexanediol xanthan gum chondrus crispus (carrageenan) hydrogenated lecithin sodium citrate titanium dioxide (ci 77891),unusually long,1,120
amyris balsamifera bark oil citrus grandis peel oil pelargonium graveolens flower oil rosmarinus officinalis leaf oiloil,unusually long,1,120
octyldodecyl lauroyl glutamate/tocopherol/jasminum officinale (jasmine) oil/citrus aurantium amara (bitter orange) leaf,unusually long,1,119
2-hexanediol xanthan gum chondrus crispus (carrageenan) hydrogenated lecithin sodium citrate iron oxides (ci 77491),unusually long,1,115
hydrolyzed hyaluronic acid low molecular weight hyaluronic acid that penetrates deeply within the skin’s surface,unusually long,1,112
saccharomyces/copper ferment saccharomyces/silicon ferment saccharomyces/zinc ferment saccharomyces/iron ferment,unusually long,1,112
talc ci 77400 (copper powder) octyldodecyl stearoyl stearate mica diisostearyl malate ci 77000 (aluminum powder),unusually long,1,112
the coconut oil becomes completely liquid vs solid at room temperature. the result is a light non-greasy texture,unusually long,1,112
biotin/folic acid/cyanocobalamin/niacinamide/pantothenic acid/pyridoxine/riboflavin/thiamine/yeast polypeptides,unusually long,1,111
pseudozyma epicola/camellia sinensis seed oil/glucose/malt extract/soybean flour/yeast extract ferment filtrate,unusually long,1,111
made from 100% highest grade (6a) long fiber mulberry silk with a thickness of 22 momme (exclusive of elastic),unusually long,1,110
polypropylsilsesquioxanec30-45 alkyldimethylsilyl polypropylsilsesquioxanetrimethylsiloxyphenyl dimethicone,unusually long,1,107
contains vitamins and minerals that are known to provide anti-microbial and irritation-minimizing benefits,unusually long,1,106
green tea phytosome (camellia sinensis extract (leaf) decaffeinated / phospholipid complex from sunflower),unusually long,1,106
sodium laureth sumassage a small amount of clarifying shampoo into wet hair. lather. rinse. repeat.lfate,unusually long,1,104
cereus grandiflorus fable & mane holiroots pre-wash hair treatment oil caprylic/capric triglyceride,unusually long,1,99
sodium polyglutamate an amino acid produced by fermentation that provides silkiness and smoothness,unusually long,1,98
carthamus tinctorius (safflower) seed extract. color wow dream coat supernatural spray aqua/water,unusually long,1,97
butyrospermum parkii butter unsaponifiables (butyrospermum parkii (shea) butter unsaponifiables),unusually long,1,96
malva sylvestris leaf/stem/flower extract (malva sylvestris (mallow) flower/leaf/stem extract),unusually long,1,94
